able unable
tame wild
wild tame
tangible intangible
intangible tangible
tangible intangible
intangible tangible
tasteful tasteless
tasteless tasteful
tasty tasteless
tasteless tasty
taxable nontaxable
nontaxable taxable
temperate intemperate
intemperate temperate
temperate intemperate
intemperate temperate
tense lax
lax tense
tense lax
lax tense
tense relaxed
relaxed tense
hypertonic hypotonic
hypotonic hypertonic
territorial extraterritorial
extraterritorial territorial
territorial nonterritorial
nonterritorial territorial
thermoplastic thermosetting
thermosetting thermoplastic
thick thin
thin thick
thick thin
thin thick
thinkable unthinkable
unthinkable thinkable
thoughtful thoughtless
thoughtless thoughtful
thrifty wasteful
wasteful thrifty
tidy untidy
untidy tidy
groomed ungroomed
ungroomed groomed
combed uncombed
uncombed combed
timbered untimbered
untimbered timbered
toned toneless
toneless toned
tongued tongueless
tongueless tongued
tipped untipped
untipped tipped
tired rested
rested tired
tolerable intolerable
intolerable tolerable
tolerant intolerant
intolerant tolerant
tonal atonal
atonal tonal
toothed toothless
toothless toothed
top bottom
top side
bottom side
bottom top
side bottom
side top
topped topless
topless topped
bottomed bottomless
bottomless bottomed
top-down bottom-up
bottom-up top-down
equatorial polar
polar equatorial
testate intestate
intestate testate
touched untouched
untouched touched
tough tender
tender tough
tough tender
tender tough
tough tender
tender tough
toxic nontoxic
nontoxic toxic
tractable intractable
intractable tractable
table_d'hote a_la_carte
a_la_carte table_d'hote
traceable untraceable
untraceable traceable
tracked trackless
trackless tracked
traveled untraveled
untraveled traveled
trimmed untrimmed
untrimmed trimmed
troubled untroubled
untroubled troubled
true false
false true
trustful distrustful
distrustful trustful
trustworthy untrustworthy
untrustworthy trustworthy
tubed tubeless
tubeless tubed
tucked untucked
untucked tucked
turned unturned
unturned turned
typical atypical
atypical typical
underhand overhand
overhand underhand
surface overhead
surface subsurface
subsurface overhead
subsurface surface
overhead subsurface
overhead surface
submersible nonsubmersible
nonsubmersible submersible
tearful tearless
tearless tearful
union nonunion
nonunion union
uniparous multiparous
multiparous uniparous
unipolar bipolar
bipolar unipolar
united divided
divided united
adnate connate
connate adnate
univalve bivalve
bivalve univalve
ascending descending
descending ascending
rising falling
falling rising
climactic anticlimactic
anticlimactic climactic
upmarket downmarket
downmarket upmarket
transitive intransitive
intransitive transitive
translatable untranslatable
untranslatable translatable
ungulate unguiculate
unguiculate ungulate
up down
down up
upstage downstage
downstage upstage
upstairs downstairs
downstairs upstairs
upstream downstream
downstream upstream
uptown downtown
downtown uptown
used misused
misused used
useful useless
useless useful
utopian dystopian
dystopian utopian
valid invalid
invalid valid
valuable worthless
worthless valuable
variable invariable
invariable variable
varied unvaried
unvaried varied
veiled unveiled
unveiled veiled
ventilated unventilated
unventilated ventilated
vertebrate invertebrate
invertebrate vertebrate
violable inviolable
inviolable violable
violent nonviolent
nonviolent violent
virtuous wicked
wicked virtuous
visible invisible
invisible visible
viviparous oviparous
viviparous ovoviviparous
oviparous ovoviviparous
oviparous viviparous
ovoviviparous oviparous
ovoviviparous viviparous
volatile nonvolatile
nonvolatile volatile
voluntary involuntary
involuntary voluntary
voluntary involuntary
involuntary voluntary
vulnerable invulnerable
invulnerable vulnerable
wanted unwanted
unwanted wanted
warm cool
cool warm
warm cool
cool warm
warm cool
cool warm
warm-blooded cold-blooded
cold-blooded warm-blooded
warmhearted coldhearted
coldhearted warmhearted
washable nonwashable
nonwashable washable
waxed unwaxed
unwaxed waxed
waxing waning
waning waxing
increasing decreasing
decreasing increasing
increasing decreasing
decreasing increasing
inflationary deflationary
deflationary inflationary
weaned unweaned
unweaned weaned
wearable unwearable
unwearable wearable
weedy weedless
weedless weedy
welcome unwelcome
unwelcome welcome
well ill
ill well
wet dry
dry wet
wet dry
dry wet
wet dry
dry wet
wet dry
dry wet
hydrous anhydrous
anhydrous hydrous
wheeled wheelless
wheelless wheeled
white-collar blue-collar
blue-collar white-collar
wholesome unwholesome
unwholesome wholesome
wide narrow
narrow wide
wide narrow
narrow wide
wieldy unwieldy
unwieldy wieldy
wigged wigless
wigless wigged
willing unwilling
unwilling willing
winged wingless
wingless winged
wired wireless
wireless wired
wise foolish
foolish wise
wooded unwooded
unwooded wooded
woody nonwoody
nonwoody woody
worldly unworldly
unworldly worldly
woven unwoven
unwoven woven
worn new
new worn
worthy unworthy
unworthy worthy
xeric hydric
xeric mesic
hydric mesic
hydric xeric
mesic hydric
mesic xeric
zonal azonal
azonal zonal
acrocarpous pleurocarpous
pleurocarpous acrocarpous
cursorial fossorial
fossorial cursorial
homocercal heterocercal
heterocercal homocercal
webbed unwebbed
unwebbed webbed
faceted unfaceted
unfaceted faceted
ipsilateral contralateral
contralateral ipsilateral
salient re-entrant
re-entrant salient
proactive retroactive
retroactive proactive
rh-positive rh-negative
rh-negative rh-positive
categorematic syncategorematic
syncategorematic categorematic
idiographic nomothetic
nomothetic idiographic
pro-choice pro-life
pro-life pro-choice
baptized unbaptized
unbaptized baptized
benign malignant
malignant benign
calcicolous calcifugous
calcifugous calcicolous
invertible non-invertible
non-invertible invertible
immunocompetent immunodeficient
immunodeficient immunocompetent
allogeneic xenogeneic
xenogeneic allogeneic
long-spurred short-spurred
short-spurred long-spurred
shelled unshelled
unshelled shelled
jawed jawless
jawless jawed
skinned skinless
skinless skinned
flowering flowerless
flowerless flowering
abient adient
adient abient
alphabetic analphabetic
analphabetic alphabetic
anodic cathodic
cathodic anodic
autotrophic heterotrophic
heterotrophic autotrophic
bracteate ebracteate
extracellular intracellular
intracellular extracellular
cenobitic eremitic
eremitic cenobitic
cenogenetic palingenetic
palingenetic cenogenetic
chromatinic achromatinic
achromatinic chromatinic
directional omnidirectional
omnidirectional directional
dysgenic eugenic
eugenic dysgenic
ebracteate bracteate
febrile afebrile
afebrile febrile
fictional nonfictional
nonfictional fictional
fretted unfretted
unfretted fretted
harmonic nonharmonic
nonharmonic harmonic
ionic nonionic
nonionic ionic
myelinated unmyelinated
unmyelinated myelinated
paradigmatic syntagmatic
passerine nonpasserine
nonpasserine passerine
photosynthetic nonphotosynthetic
nonphotosynthetic photosynthetic
ruminant nonruminant
nonruminant ruminant
spherical nonspherical
nonspherical spherical
steroidal nonsteroidal
nonsteroidal steroidal
suppurative nonsuppurative
nonsuppurative suppurative
syntagmatic paradigmatic
unthematic thematic
thematic unthematic
thermal nonthermal
nonthermal thermal
vocal instrumental
instrumental vocal
hydrostatic hydrokinetic
hydrokinetic hydrostatic
spatial nonspatial
nonspatial spatial
linguistic nonlinguistic
nonlinguistic linguistic
caudal cephalic
cephalic caudal
financial nonfinancial
nonfinancial financial
eukaryotic prokaryotic
eucaryotic procaryotic
prokaryotic eukaryotic
procaryotic eucaryotic
vascular avascular
avascular vascular
uninucleate multinucleate
multinucleate uninucleate
parental filial
filial parental
surgical nonsurgical
nonsurgical surgical
endocrine exocrine
exocrine endocrine
historical ahistorical
ahistorical historical
anti-American pro-American
pro-American anti-American
rational irrational
irrational rational
anionic cationic
cationic anionic
accusatorial inquisitorial
inquisitorial accusatorial
prenuptial postnuptial
postnuptial prenuptial
interdepartmental intradepartmental
intradepartmental interdepartmental
homeopathic allopathic
allopathic homeopathic
nontranslational translational
translational nontranslational
avenged unavenged
unavenged avenged
collected uncollected
gathered ungathered
uncollected collected
ungathered gathered
contested uncontested
uncontested contested
filled unfilled
unfilled filled
malted unmalted
unmalted malted
posed unposed
unposed posed
saponified unsaponified
unsaponified saponified
kindly unkindly
unkindly kindly
significantly insignificantly
insignificantly significantly
partly wholly
wholly partly
perfectly imperfectly
imperfectly perfectly
well ill
ill well
well badly
badly well
well ill
ill well
well badly
advantageously disadvantageously
badly well
disadvantageously advantageously
well badly
badly well
satisfactorily unsatisfactorily
unsatisfactorily satisfactorily
ever never
never ever
conventionally unconventionally
unconventionally conventionally
still no_longer
no_longer still
frequently infrequently
often rarely
rarely often
reasonably unreasonably
moderately immoderately
unreasonably reasonably
immoderately moderately
naturally unnaturally
unnaturally naturally
accidentally deliberately
specifically generally
generally specifically
fortunately unfortunately
luckily unluckily
happily sadly
sadly happily
unfortunately fortunately
unluckily luckily
happily unhappily
unhappily happily
by_hand by_machine
by_machine by_hand
acceptably unacceptably
tolerably intolerably
unacceptably acceptably
intolerably tolerably
adroitly maladroitly
maladroitly adroitly
by_all_means by_no_means
by_no_means by_all_means
directly indirectly
indirectly directly
intentionally unintentionally
deliberately accidentally
deliberately accidentally
unintentionally intentionally
accidentally deliberately
loudly softly
softly loudly
back ahead
backward forward
backward forward
forward backward
ahead back
forward backward
covertly overtly
overtly covertly
actively passively
passively actively
below above
above below
below above
above below
insanely sanely
sanely insanely
singly multiply
multiply singly
empirically theoretically
quickly slowly
permissibly impermissibly
impermissibly permissibly
permanently temporarily
temporarily permanently
geometrically linearly
conclusively inconclusively
inconclusively conclusively
downstairs upstairs
upstairs downstairs
downwind upwind
upwind downwind
windward leeward
downwind upwind
leeward windward
upwind downwind
down up
downwards upwards
downward upward
downwardly upwardly
down up
down up
up down
upwards downwards
upward downward
upwardly downwardly
up down
up down
upriver downriver
upstream downstream
downriver upriver
downstream upstream
more less
less more
more less
less more
early late
late early
at_least at_most
at_the_least at_the_most
at_most at_least
at_the_most at_the_least
at_best at_worst
at_worst at_best
responsibly irresponsibly
irresponsibly responsibly
unremarkably remarkably
remarkably unremarkably
here there
here there
there here
there here
inside outside
indoors outdoors
outside inside
outdoors indoors
inside outside
outside inside
most least
least most
organically inorganically
inorganically organically
officially unofficially
unofficially officially
centrally peripherally
peripherally centrally
on_the_other_hand on_the_one_hand
on_the_one_hand on_the_other_hand
successfully unsuccessfully
systematically unsystematically
consistently inconsistently
unsystematically systematically
inconsistently consistently
constitutionally unconstitutionally
unconstitutionally constitutionally
democratically undemocratically
undemocratically democratically
typically atypically
atypically typically
linearly geometrically
secondarily primarily
primarily secondarily
dramatically undramatically
undramatically dramatically
appropriately inappropriately
suitably unsuitably
inappropriately appropriately
unsuitably suitably
offshore onshore
onshore offshore
naturally artificially
artificially naturally
acutely chronically
chronically acutely
sufficiently insufficiently
insufficiently sufficiently
unhesitatingly hesitantly
hesitantly unhesitatingly
in_hand out_of_hand
out_of_hand in_hand
mindfully unmindfully
advertently inadvertently
unmindfully mindfully
lawlessly lawfully
comfortably uncomfortably
uncomfortably comfortably
slowly quickly
publicly privately
privately publicly
privately publicly
publicly privately
unsuccessfully successfully
theoretically empirically
orad aborad
aborad orad
impatiently patiently
patiently impatiently
unsteadily steadily
steadily unsteadily
symmetrically asymmetrically
asymmetrically symmetrically
heavily lightly
lightly heavily
strongly weakly
weakly strongly
amply meagerly
gracefully gracelessly
gracelessly gracefully
considerately inconsiderately
inconsiderately considerately
helpfully unhelpfully
unhelpfully helpfully
rationally irrationally
irrationally rationally
critically uncritically
uncritically critically
competently incompetently
incompetently competently
emotionally unemotionally
unemotionally emotionally
informally formally
formally informally
uptown downtown
downtown uptown
enthusiastically unenthusiastically
unenthusiastically enthusiastically
coarsely finely
finely coarsely
sympathetically unsympathetically
unsympathetically sympathetically
convincingly unconvincingly
unconvincingly convincingly
graciously ungraciously
gracefully ungracefully
ungraciously graciously
ungracefully gracefully
regularly irregularly
irregularly regularly
improperly properly
properly improperly
conveniently inconveniently
inconveniently conveniently
concretely abstractly
abstractly concretely
fearfully fearlessly
fearlessly fearfully
hopefully hopelessly
hopelessly hopefully
wisely foolishly
foolishly wisely
intelligently unintelligently
unintelligently intelligently
intelligibly unintelligibly
unintelligibly intelligibly
diplomatically undiplomatically
undiplomatically diplomatically
correctly incorrectly
right wrongly
incorrectly correctly
wrongly right
accurately inaccurately
inaccurately accurately
justly unjustly
unjustly justly
hurriedly unhurriedly
unhurriedly hurriedly
binaurally monaurally
monaurally binaurally
imaginatively unimaginatively
unimaginatively imaginatively
unashamedly ashamedly
impressively unimpressively
unimpressively impressively
productively unproductively
fruitfully fruitlessly
profitably unprofitably
unproductively productively
fruitlessly fruitfully
unprofitably profitably
expertly amateurishly
amateurishly expertly
interestingly uninterestingly
uninterestingly interestingly
moderately immoderately
immoderately moderately
realistically unrealistically
unrealistically realistically
reasonably unreasonably
unreasonably reasonably
thoughtfully thoughtlessly
thoughtlessly thoughtfully
thoughtfully thoughtlessly
thoughtlessly thoughtfully
auspiciously inauspiciously
propitiously unpropitiously
inauspiciously auspiciously
unpropitiously propitiously
politely impolitely
courteously discourteously
impolitely politely
discourteously courteously
pleasantly unpleasantly
agreeably disagreeably
unpleasantly pleasantly
ambiguously unambiguously
unambiguously ambiguously
unceremoniously ceremoniously
ceremoniously unceremoniously
narrowly broadly
broadly narrowly
faithfully unfaithfully
dependably undependably
reliably unreliably
unfaithfully faithfully
undependably dependably
unreliably reliably
violently nonviolently
nonviolently violently
infinitely finitely
finitely infinitely
big small
small big
warily unwarily
unwarily warily
noisily quietly
quietly noisily
quietly unquietly
unquietly quietly
outwardly inwardly
inwardly outwardly
favorably unfavorably
unfavorably favorably
cheerfully cheerlessly
cheerlessly cheerfully
voluntarily involuntarily
involuntarily voluntarily
efficiently inefficiently
inefficiently efficiently
wittingly unwittingly
knowingly unknowingly
unwittingly wittingly
inadvertently advertently
unknowingly knowingly
justifiably unjustifiably
unjustifiably justifiably
modestly immodestly
immodestly modestly
resolutely irresolutely
irresolutely resolutely
attractively unattractively
unattractively attractively
consciously unconsciously
unconsciously consciously
competitively noncompetitively
noncompetitively competitively
believably unbelievably
believably unbelievably
unbelievably believably
decently indecently
indecently decently
characteristically uncharacteristically
uncharacteristically characteristically
internally externally
externally internally
a_posteriori a_priori
a_priori a_posteriori
lawfully unlawfully
unlawfully lawfully
full-time half-time
half-time full-time
unilaterally multilaterally
multilaterally unilaterally
counterclockwise clockwise
clockwise counterclockwise
inward outward
outward inward
offstage onstage
onstage offstage
appealingly unappealingly
unappealingly appealingly
approvingly disapprovingly
disapprovingly approvingly
ambitiously unambitiously
unambitiously ambitiously
upstage downstage
downstage upstage
ashamedly unashamedly
assertively unassertively
unassertively assertively
articulately inarticulately
inarticulately articulately
audibly inaudibly
inaudibly audibly
bloodlessly bloodily
bloodily bloodlessly
appreciatively unappreciatively
gratefully ungratefully
ungratefully gratefully
unappreciatively appreciatively
seasonably unseasonably
unseasonably seasonably
aft fore
fore aft
cautiously incautiously
carefully carelessly
incautiously cautiously
carelessly carefully
chivalrously unchivalrously
fairly unfairly
unfairly fairly
coherently incoherently
incoherently coherently
compatibly incompatibly
incompatibly compatibly
uncomplainingly complainingly
complainingly uncomplainingly
comprehensively noncomprehensively
noncomprehensively comprehensively
pro con
con pro
conditionally unconditionally
unconditionally conditionally
consequentially inconsequentially
inconsequentially consequentially
incredibly credibly
unbelievably believably
credibly incredibly
incredulously credulously
unbelievingly believingly
credulously incredulously
believingly unbelievingly
decisively indecisively
indecisively decisively
decisively indecisively
indecisively decisively
thickly thinly
possibly impossibly
impossibly possibly
deservedly undeservedly
undeservedly deservedly
controversially uncontroversially
uncontroversially controversially
decorously indecorously
indecorously decorously
willingly unwillingly
unwillingly willingly
defensively offensively
offensively defensively
inoffensively offensively
offensively inoffensively
harmfully harmlessly
harmlessly harmfully
disagreeably agreeably
honestly dishonestly
dishonestly honestly
dishonorably honorably
honorably dishonorably
loyally disloyally
disloyally loyally
obediently disobediently
disobediently obediently
disproportionately proportionately
proportionately disproportionately
disproportionately proportionately
proportionately disproportionately
disreputably reputably
reputably disreputably
respectfully disrespectfully
disrespectfully respectfully
distrustfully trustfully
trustfully distrustfully
easterly westerly
westerly easterly
effectually ineffectually
ineffectually effectually
efficaciously inefficaciously
effectively ineffectively
inefficaciously efficaciously
ineffectively effectively
selfishly unselfishly
unselfishly selfishly
elegantly inelegantly
inelegantly elegantly
eloquently ineloquently
articulately inarticulately
ineloquently eloquently
inarticulately articulately
encouragingly discouragingly
discouragingly encouragingly
equitably inequitably
inequitably equitably
ethically unethically
unethically ethically
evenly unevenly
regularly irregularly
unevenly evenly
irregularly regularly
regularly irregularly
irregularly regularly
evenly unevenly
equally unequally
unevenly evenly
unequally equally
excitingly unexcitingly
unexcitingly excitingly
excusably inexcusably
forgivably unforgivably
pardonably unpardonably
inexcusably excusably
unpardonably pardonably
unforgivably forgivably
expediently inexpediently
inexpediently expediently
expensively cheaply
cheaply expensively
expressively inexpressively
inexpressively expressively
fashionably unfashionably
unfashionably fashionably
civilly uncivilly
uncivilly civilly
feelingly unfeelingly
unfeelingly feelingly
felicitously infelicitously
infelicitously felicitously
figuratively literally
literally figuratively
flexibly inflexibly
inflexibly flexibly
forgivingly unforgivingly
unforgivingly forgivingly
piano forte
forte piano
pianissimo fortissimo
fortissimo pianissimo
joyfully joylessly
joylessly joyfully
grudgingly ungrudgingly
ungrudgingly grudgingly
hospitably inhospitably
inhospitably hospitably
humanely inhumanely
inhumanely humanely
humorously humorlessly
humorlessly humorously
hygienically unhygienically
unhygienically hygienically
legibly illegibly
illegibly legibly
illegitimately legitimately
legitimately illegitimately
illegitimately legitimately
illicitly licitly
legitimately illegitimately
lawfully lawlessly
licitly illicitly
logically illogically
illogically logically
morally immorally
immorally morally
impenitently penitently
unrepentantly repentantly
penitently impenitently
repentantly unrepentantly
imperceptibly perceptibly
perceptibly imperceptibly
impersonally personally
personally impersonally
implicitly explicitly
explicitly implicitly
precisely imprecisely
exactly inexactly
imprecisely precisely
inexactly exactly
improvidently providently
providently improvidently
prudently imprudently
imprudently prudently
adequately inadequately
inadequately adequately
incomparably comparably
comparably incomparably
conspicuously inconspicuously
inconspicuously conspicuously
discreetly indiscreetly
indiscreetly discreetly
informatively uninformatively
instructively uninstructively
uninformatively informatively
uninstructively instructively
infrequently frequently
inopportunely opportunely
opportunely inopportunely
securely insecurely
insecurely securely
securely insecurely
insecurely securely
sensitively insensitively
insensitively sensitively
sincerely insincerely
insincerely sincerely
tolerantly intolerantly
intolerantly tolerantly
transitively intransitively
intransitively transitively
invisibly visibly
visibly invisibly
irrelevantly relevantly
irreverently reverently
immaturely maturely
maturely immaturely
judiciously injudiciously
injudiciously judiciously
left right
right left
legato staccato
staccato legato
manageably unmanageably
unmanageably manageably
manfully unmanfully
unmanfully manfully
benevolently malevolently
malevolently benevolently
maximally minimally
minimally maximally
meagerly amply
meagerly amply
amply meagerly
immeasurably measurably
measurably immeasurably
melodiously unmelodiously
unmelodiously melodiously
memorably unmemorably
unmemorably memorably
untruthfully truthfully
truthfully untruthfully
musically unmusically
unmusically musically
narrow-mindedly broad-mindedly
broad-mindedly narrow-mindedly
necessarily unnecessarily
unnecessarily necessarily
objectively subjectively
subjectively objectively
obtrusively unobtrusively
unobtrusively obtrusively
optimistically pessimistically
pessimistically optimistically
optionally obligatorily
obligatorily optionally
palatably unpalatably
unpalatably palatably
patriotically unpatriotically
unpatriotically patriotically
recognizably unrecognizably
unrecognizably recognizably
pretentiously unpretentiously
unpretentiously pretentiously
relevantly irrelevantly
retail wholesale
wholesale retail
reverently irreverently
righteously unrighteously
unrighteously righteously
self-consciously unselfconsciously
unselfconsciously self-consciously
sentimentally unsentimentally
unsentimentally sentimentally
separably inseparably
inseparably separably
smilingly unsmilingly
unsmilingly smilingly
sociably unsociably
unsociably sociably
sportingly unsportingly
unsportingly sportingly
romantically unromantically
unromantically romantically
tactfully tactlessly
tactlessly tactfully
tastefully tastelessly
tastelessly tastefully
thinly thickly
thickly thinly
thinly thickly
thinly thickly
thickly thinly
unchivalrously chivalrously
ungrammatically grammatically
grammatically ungrammatically
unnaturally naturally
naturally unnaturally
precedentedly unprecedentedly
unprecedentedly precedentedly
honorably dishonorably
dishonorably honorably
usefully uselessly
uselessly usefully
convexly concavely
concavely convexly
painfully painlessly
painlessly painfully
abaxially adaxially
adaxially abaxially
exhale inhale
inhale exhale
rest be_active
be_active rest
sleep wake
hibernate aestivate
hibernate estivate
estivate hibernate
aestivate hibernate
fall_asleep wake_up
go_to_bed get_up
turn_in turn_out
get_up go_to_bed
turn_out turn_in
wake_up fall_asleep
awaken cause_to_sleep
cause_to_sleep awaken
wake sleep
anesthetize bring_to
bring_to anesthetize
sedate stimulate
stimulate sedate
energize de-energize
energise de-energise
de-energize energize
de-energise energise
refresh tire
tense relax
strain unstrain
relax tense
unstrain strain
tense relax
relax tense
laugh cry
overdress underdress
dress_up dress_down
dress_down dress_up
underdress overdress
reduce gain
gain reduce
dress undress
dress undress
overdress underdress
underdress overdress
undress dress
undress dress
slip_on slip_off
slip_off slip_on
carry_to_term miscarry
miscarry carry_to_term
irritate soothe
soothe irritate
suffer be_well
be_well suffer
cry laugh
tire refresh
vomit keep_down
keep_down vomit
infect disinfect
disinfect infect
deteriorate recuperate
recuperate deteriorate
change stay
stay change
differentiate dedifferentiate
dedifferentiate differentiate
mythologize demythologize
demythologize mythologize
decrease increase
increase decrease
increase decrease
assimilate dissimilate
assimilate dissimilate
assimilate dissimilate
dissimilate assimilate
dissimilate assimilate
dissimilate assimilate
vitalize devitalize
devitalize vitalize
enrich deprive
deprive enrich
take_away add
unclutter clutter
clutter unclutter
add take_away
activate inactivate
inactivate activate
deaden enliven
enliven deaden
correct falsify
falsify correct
worsen better
better worsen
better worsen
worsen better
dehydrate hydrate
hydrate dehydrate
wet dry
humidify dehumidify
dehumidify humidify
dry wet
lock unlock
unlock lock
unlock lock
engage disengage
disengage engage
strengthen weaken
strengthen weaken
weaken strengthen
weaken strengthen
deoxidize oxidize
deoxidise oxidise
oxidize deoxidize
oxidise deoxidise
reduce blow_up
blow_up reduce
shrink stretch
contract expand
stretch shrink
contract expand
progress regress
regress progress
age rejuvenate
rejuvenate age
soften harden
soften harden
repair break
inflate deflate
deflate inflate
acidify alkalize
alkalize acidify
get_well get_worse
get_worse get_well
freeze unfreeze
block unblock
unblock block
unfreeze freeze
stabilize destabilize
stabilise destabilise
destabilize stabilize
destabilise stabilise
stabilize destabilise
stabilize destabilize
destabilize stabilize
destabilise stabilize
sensitize desensitize
desensitize sensitize
disorder order
predate postdate
postdate predate
order disorder
whiten blacken
blacken whiten
lighten darken
discolor color
color discolor
escalate de-escalate
de-escalate escalate
beautify uglify
uglify beautify
tune untune
untune tune
qualify disqualify
disqualify qualify
widen narrow
let_out take_in
take_in let_out
narrow widen
implode explode
explode implode
dehydrogenate hydrogenate
hydrogenate dehydrogenate
blur focus
darken brighten
darken lighten
brighten darken
blur focus
focus blur
focus blur
depreciate appreciate
depreciate appreciate
appreciate depreciate
appreciate depreciate
shorten lengthen
lengthen shorten
shorten lengthen
lengthen shorten
materialize dematerialize
materialise dematerialise
dematerialize materialize
dematerialise materialise
begin end
begin end
end begin
end begin
die be_born
be_born die
unify disunify
disunify unify
cool heat
cool heat
heat cool
heat cool
freeze boil
boil freeze
personalize depersonalize
personalise depersonalise
depersonalize personalize
depersonalise personalise
stifle stimulate
sharpen flatten
flatten sharpen
synchronize desynchronize
synchronise desynchronise
desynchronize synchronize
desynchronise synchronise
disintegrate integrate
magnetize demagnetize
magnetise demagnetise
demagnetize magnetize
demagnetise magnetise
simplify complicate
complicate simplify
pressurize depressurize
pressurise depressurise
depressurize pressurize
depressurise pressurise
centralize decentralize
centralise decentralise
concentrate deconcentrate
decentralize centralise
decentralize centralize
deconcentrate concentrate
winterize summerize
summerize winterize
nationalize denationalize
nationalise denationalise
denationalize nationalize
denationalise nationalise
naturalize denaturalize
denaturalize naturalize
naturalize denaturalize
denaturalize naturalize
immigrate emigrate
emigrate immigrate
stiffen loosen
stiffen loosen
loosen stiffen
loosen stiffen
transitivize detransitivize
detransitivize transitivize
appear disappear
appear disappear
disappear appear
disappear appear
minimize maximize
minimise maximise
scale_down scale_up
scale_up scale_down
maximize minimize
maximise minimise
thin thicken
thin thicken
thicken thin
thicken thin
wax wane
wax wane
wane wax
wane wax
unfurl roll_up
roll_up unfurl
diversify specialise
diversify specialize
specialize diversify
specialise diversify
accelerate decelerate
decelerate accelerate
accelerate decelerate
decelerate accelerate
decrease increase
harden soften
harden soften
validate invalidate
invalidate validate
empty fill
empty fill
fill empty
fill empty
homogenise curdle
homogenize curdle
homogenise curdle
curdle homogenise
curdle homogenise
curdle homogenize
rush delay
delay rush
quieten louden
louden quieten
align skew
skew align
integrate disintegrate
decontaminate contaminate
contaminate decontaminate
calcify decalcify
decalcify calcify
emulsify demulsify
emulsify demulsify
demulsify emulsify
demulsify emulsify
denazify nazify
nazify denazify
denitrify nitrify
nitrify denitrify
stimulate stifle
disable enable
enable disable
background foreground
play_down play_up
foreground background
play_up play_down
mystify demystify
demystify mystify
de-ionate ionate
iodinate de-iodinate
de-iodinate iodinate
ionate de-ionate
occidentalize orientalize
occidentalise orientalise
orientalize occidentalize
orientalise occidentalise
salinate desalinate
desalinate salinate
scramble unscramble
unscramble scramble
crescendo decrescendo
decrescendo crescendo
back veer
veer back
deflate inflate
inflate deflate
deflate inflate
inflate deflate
stalinize destalinize
destalinize stalinize
know ignore
keep_track lose_track
lose_track keep_track
ignore know
remember forget
forget remember
mind forget
remember forget
forget remember
forget mind
neglect attend_to
exclude include
attend_to neglect
literalize spiritualize
spiritualize literalize
add subtract
subtract add
multiply divide
divide multiply
differentiate integrate
integrate differentiate
analyze synthesize
synthesize analyze
downgrade upgrade
upgrade downgrade
prove disprove
affirm negate
negate affirm
invalidate validate
validate invalidate
disprove prove
underestimate overestimate
overestimate underestimate
approve disapprove
disapprove approve
dispose indispose
indispose dispose
believe disbelieve
disbelieve believe
include exclude
reject accept
accept reject
approbate reprobate
reprobate approbate
distrust trust
mistrust trust
trust distrust
trust mistrust
respect disrespect
esteem disesteem
disrespect respect
disesteem esteem
overvalue undervalue
overestimate underestimate
undervalue overvalue
underestimate overestimate
associate dissociate
dissociate associate
claim disclaim
disclaim claim
disclaim claim
claim disclaim
persuade dissuade
talk_out_of talk_into
talk_into talk_out_of
dissuade persuade
forbid permit
disallow allow
refuse accept
accept refuse
contract_in contract_out
contract_out contract_in
permit forbid
allow disallow
assent dissent
dissent assent
disagree agree
agree disagree
approve disapprove
disapprove approve
avoid confront
confront avoid
deny admit
admit deny
avow disavow
disavow avow
criticize praise
overstate understate
understate overstate
blame absolve
disparage flatter
deceive undeceive
undeceive deceive
praise criticize
cheer complain
applaud boo
boo applaud
curse bless
bless curse
consecrate desecrate
desecrate consecrate
flatter disparage
oblige disoblige
disoblige oblige
make break
welcome say_farewell
say_farewell welcome
absolve blame
acquit convict
convict acquit
complain cheer
shout whisper
whisper shout
indicate contraindicate
indicate contraindicate
contraindicate indicate
contraindicate indicate
talk keep_quiet
keep_quiet talk
clarify obfuscate
obfuscate clarify
devoice voice
voice devoice
expand contract
check_in check_out
clock_in clock_out
punch_in punch_out
check_out check_in
clock_out clock_in
punch_out punch_in
qualify disqualify
disqualify qualify
encode decode
decode encode
record erase
erase record
specify generalize
generalize specify
excommunicate communicate
communicate excommunicate
close_up open_up
open_up close_up
spell unspell
unspell spell
enter drop_out
drop_out enter
arm disarm
disarm arm
demobilize mobilize
demobilise mobilise
mobilize demobilize
mobilise demobilise
war make_peace
make_peace war
enlist discharge
discharge enlist
mobilize demobilize
demobilize mobilize
militarize demilitarize
militarise demilitarise
demilitarize militarize
demilitarise militarise
lose win
win lose
gain fall_back
fall_back gain
surrender resist
resist surrender
attack defend
defend attack
overshoot undershoot
defuse fuse
fuse defuse
undershoot overshoot
consume abstain
eat_in eat_out
eat_out eat_in
live_in live_out
live_out live_in
feed starve
breastfeed bottlefeed
bottlefeed breastfeed
starve feed
starve be_full
be_full starve
abstain consume
clasp unclasp
hold let_go_of
clasp unclasp
unclasp clasp
unclasp clasp
twist untwist
untwist twist
hit miss
miss hit
dull sharpen
sharpen dull
smooth roughen
roughen smooth
fold unfold
bend unbend
unbend bend
wrap unwrap
unwrap wrap
untie tie
tie untie
chain unchain
unchain chain
strap unstrap
unstrap strap
attach detach
join disjoin
disjoin join
disjoin join
join disjoin
attach detach
couple uncouple
uncouple couple
