able unable
descriptive undescriptive
undescriptive descriptive
desirable undesirable
undesirable desirable
destroyed preserved
preserved destroyed
destructible indestructible
indestructible destructible
determinable indeterminable
indeterminable determinable
determinate indeterminate
indeterminate determinate
determinate indeterminate
indeterminate determinate
developed undeveloped
undeveloped developed
dextral sinistral
sinistral dextral
diabatic adiabatic
adiabatic diabatic
differentiated undifferentiated
undifferentiated differentiated
difficult easy
easy difficult
digitigrade plantigrade
plantigrade digitigrade
dignified undignified
undignified dignified
statesmanlike unstatesmanlike
unstatesmanlike statesmanlike
presidential unpresidential
unpresidential presidential
dicotyledonous monocotyledonous
monocotyledonous dicotyledonous
diligent negligent
negligent diligent
diluted undiluted
undiluted diluted
saturated unsaturated
unsaturated saturated
saturated unsaturated
unsaturated saturated
diplomatic undiplomatic
undiplomatic diplomatic
conciliatory antagonistic
antagonistic conciliatory
direct indirect
indirect direct
direct alternating
alternating direct
direct indirect
indirect direct
direct inverse
inverse direct
direct retrograde
retrograde direct
immediate mediate
mediate immediate
discerning undiscerning
undiscerning discerning
discreet indiscreet
indiscreet discreet
discriminate indiscriminate
indiscriminate discriminate
discriminating undiscriminating
undiscriminating discriminating
disposable nondisposable
nondisposable disposable
returnable nonreturnable
nonreturnable returnable
disposable nondisposable
nondisposable disposable
distal proximal
proximal distal
distal mesial
mesial distal
distinct indistinct
indistinct distinct
focused unfocused
unfocused focused
diversified undiversified
undiversified diversified
divisible indivisible
indivisible divisible
documented undocumented
undocumented documented
domineering submissive
submissive domineering
servile unservile
unservile servile
dominant subordinate
subordinate dominant
dominant recessive
recessive dominant
single-barreled double-barreled
double-barreled single-barreled
double-breasted single-breasted
single-breasted double-breasted
dramatic undramatic
undramatic dramatic
actable unactable
unactable actable
theatrical untheatrical
untheatrical theatrical
drinkable undrinkable
undrinkable drinkable
intoxicated sober
sober intoxicated
dull sharp
sharp dull
sharp dull
dull sharp
eventful uneventful
uneventful eventful
lively dull
dull lively
dynamic undynamic
undynamic dynamic
eager uneager
uneager eager
eared earless
earless eared
early late
early middle
middle early
middle late
late early
late middle
early late
late early
early late
early middle
middle early
middle late
late early
late middle
earned unearned
unearned earned
easy uneasy
uneasy easy
east west
west east
western eastern
eastern western
western eastern
eastern western
ectomorphic endomorphic
ectomorphic mesomorphic
endomorphic ectomorphic
endomorphic mesomorphic
mesomorphic ectomorphic
mesomorphic endomorphic
edible inedible
inedible edible
educated uneducated
uneducated educated
numerate innumerate
innumerate numerate
operative inoperative
inoperative operative
effective ineffective
ineffective effective
effortful effortless
effortless effortful
efficacious inefficacious
inefficacious efficacious
efficient inefficient
inefficient efficient
forceful forceless
forceless forceful
elastic inelastic
inelastic elastic
elective appointive
appointive elective
assigned unassigned
unassigned assigned
optional obligatory
obligatory optional
elegant inelegant
inelegant elegant
eligible ineligible
ineligible eligible
emotional unemotional
unemotional emotional
empirical theoretical
theoretical empirical
theoretical applied
applied theoretical
salaried freelance
freelance salaried
employed unemployed
unemployed employed
employable unemployable
unemployable employable
enchanted disenchanted
disenchanted enchanted
encouraging discouraging
discouraging encouraging
encumbered unencumbered
unencumbered encumbered
burdened unburdened
unburdened burdened
endocentric exocentric
exocentric endocentric
endogamous exogamous
exogamous endogamous
autogamous endogamous
autogamous exogamous
endogamous autogamous
endogamous exogamous
exogamous autogamous
exogamous endogamous
endoergic exoergic
exoergic endoergic
endothermic exothermic
exothermic endothermic
endogenous exogenous
endogenic exogenic
exogenous endogenous
exogenic endogenic
end-stopped run-on
run-on end-stopped
energetic lethargic
lethargic energetic
enfranchised disenfranchised
disenfranchised enfranchised
exportable unexportable
unexportable exportable
exploratory nonexploratory
nonexploratory exploratory
inquiring uninquiring
uninquiring inquiring
increased decreased
decreased increased
reducible irreducible
irreducible reducible
enlightened unenlightened
unenlightened enlightened
enterprising unenterprising
unenterprising enterprising
enthusiastic unenthusiastic
unenthusiastic enthusiastic
desirous undesirous
undesirous desirous
entozoic epizoic
epizoic entozoic
equal unequal
unequal equal
balanced unbalanced
unbalanced balanced
isotonic hypertonic
isotonic hypotonic
hypertonic hypotonic
hypertonic isotonic
hypotonic hypertonic
hypotonic isotonic
equivocal unequivocal
unequivocal equivocal
eradicable ineradicable
ineradicable eradicable
esoteric exoteric
exoteric esoteric
essential inessential
inessential essential
dispensable indispensable
indispensable dispensable
estimable contemptible
contemptible estimable
ethical unethical
unethical ethical
complimentary uncomplimentary
uncomplimentary complimentary
flattering unflattering
unflattering flattering
euphemistic dysphemistic
dysphemistic euphemistic
euphoric dysphoric
dysphoric euphoric
even uneven
uneven even
even odd
odd even
evergreen deciduous
deciduous evergreen
exact inexact
inexact exact
convertible inconvertible
inconvertible convertible
exchangeable unexchangeable
unexchangeable exchangeable
excitable unexcitable
unexcitable excitable
excited unexcited
unexcited excited
exciting unexciting
unexciting exciting
exculpatory inculpatory
inculpatory exculpatory
exhaustible inexhaustible
inexhaustible exhaustible
exhausted unexhausted
unexhausted exhausted
existent nonexistent
nonexistent existent
extant extinct
extinct extant
expected unexpected
unexpected expected
expedient inexpedient
inexpedient expedient
expendable unexpendable
unexpendable expendable
expensive cheap
cheap expensive
experienced inexperienced
inexperienced experienced
expired unexpired
unexpired expired
explicable inexplicable
inexplicable explicable
explicit implicit
implicit explicit
exploited unexploited
unexploited exploited
expressible inexpressible
inexpressible expressible
extensile nonextensile
nonextensile extensile
extricable inextricable
inextricable extricable
bowed plucked
plucked bowed
fingered fingerless
fingerless fingered
expansive unexpansive
unexpansive expansive
extinguishable inextinguishable
inextinguishable extinguishable
external internal
internal external
outer inner
inner outer
outward inward
inward outward
exterior interior
interior exterior
eyed eyeless
eyeless eyed
playable unplayable
unplayable playable
fair foul
foul fair
fair unfair
unfair fair
equitable inequitable
inequitable equitable
faithful unfaithful
unfaithful faithful
faithful unfaithful
unfaithful faithful
loyal disloyal
disloyal loyal
fallible infallible
infallible fallible
familiar unfamiliar
unfamiliar familiar
strange familiar
familiar strange
fashionable unfashionable
unfashionable fashionable
stylish styleless
styleless stylish
fast slow
slow fast
fast slow
slow fast
fast slow
slow fast
